translation
"{'en': 'Conner!', 'es': '¡Conner!'}"
"{'en': '- [Flicks Switch]\n', 'es': 'Giróscopo 2, calentar, ya está.'}"
"{'en': '22 27 23', 'es': '22 27 23'}"
"{'en': '22 27 23\n', 'es': '22 27 23'}"
"{'en': '28 June-23 July 2004', 'es': '28 de junio a 23 de julio de 2004'}"
"{'en': '28 June-23 July 2004\n', 'es': '28 de junio a 23 de julio de 2004'}"
"{'en': 'very active (1)', 'es': 'very active (1)'}"
"{'en': 'very active (1)\n', 'es': 'very active (1)'}"
"{'en': '1200 Pennsylvania Avenue, N.W. 6205J', 'es': 'Ministerio de Turismo, Medio Ambiente y Comunicaciones'}"
"{'en': '1200 Pennsylvania Avenue, N.W. 6205J\n', 'es': 'Ministerio de Turismo, Medio Ambiente y Comunicaciones'}"
"{'en': '06 July 2010', 'es': '06 de julio de 2010'}"
"{'en': '06 July 2010\n', 'es': '06 de julio de 2010'}"
"{'en': '- How stupid.', 'es': 'No hable tan alto.'}"
"{'en': '- How silly\n', 'es': 'No hable tan alto.'}"
"{'en': '93760. Îáùåïðèçíàííííìó 1(1), 2(1), 3(1) 3', 'es': '93760. Gemüt 1 (1) 1'}"
"{'en': '93760. Îáùåïðèçíàííîìó 1(1), 2(1), 3(1) 3\n', 'es': '93760. Gemüt 1 (1) 1'}"
"{'en': '(b) Pneumoconiosis board;', 'es': 'b) La Junta para luchar contra la neumoconiosis;'}"
"{'en': '(b) Pneumoconiosis Board;\n', 'es': 'b) La Junta para luchar contra la neumoconiosis;'}"
"{'en': '5 - 10 (100)', 'es': '5 - 10 (111)'}"
"{'en': '5 - 10 (100)\n', 'es': '5 - 10 (111)'}"
"{'en': 'World Forum for Harmonization of Vehicle Regulations (WP.29)', 'es': '6 de enero de 2015'}"
"{'en': '6 April 1998\n', 'es': '6 de enero de 2015'}"
"{'en': '1st Avenue 2056 M Lid 06516 Carros Cedex France', 'es': '1ere Avenue 2056 M Lid 06516 Carros Cedex Francia'}"
"{'en': '1ere Avenue 2056 M Lid 06516 Carros Cedex France\n', 'es': '1ere Avenue 2056 M Lid 06516 Carros Cedex Francia'}"
"{'en': '> 4 (10)', 'es': '4 (10)'}"
"{'en': '> 4 (10)\n', 'es': '4 (10)'}"
"{'en': 'of 21 December 2006', 'es': 'de 21 de diciembre de 2006'}"
"{'en': 'of 21 December 2006\n', 'es': 'de 21 de diciembre de 2006'}"
"{'en': 'they are free from black leg symptoms;', 'es': 'están exentas de síntomas de pie negro;'}"
"{'en': 'they are free from symptoms of blackleg;\n', 'es': 'están exentas de síntomas de pie negro;'}"
"{'en': '4.4 Special warnings and precautions for use', 'es': '4.4 Advertencias y precauciones especiales de empleo'}"
"{'en': '4.4 Special warnings and precautions for use\n', 'es': '4.4 Advertencias y precauciones especiales de empleo'}"
"{'en': '4.4 Special warnings and precautions for use', 'es': '4.4 Advertencias y precauciones especiales de empleo'}"
"{'en': '4.4 Special warnings and precautions for use\n', 'es': '4.4 Advertencias y precauciones especiales de empleo'}"
"{'en': '10 What you need to know after being stopped', 'es': '10 COSAS QUE USTED DEBE SABER ANTES DE SER ARRESTADO'}"
"{'en': '10 THINGS YOU SHOULD KNOW AFTER BEING ARRESTED\n', 'es': '10 COSAS QUE USTED DEBE SABER ANTES DE SER ARRESTADO'}"
"{'en': '♪ because you came into my world in time ♪', 'es': '*Porque llegaste a mi mundo a tiempo*'}"
"{'en': ""♪ 'cause you came to my world on time ♪\n"", 'es': '*Porque llegaste a mi mundo a tiempo*'}"
"{'en': '28%', 'es': '35%'}"
"{'en': '28%\n', 'es': '35%'}"
"{'en': '24 hours', 'es': '24 horas.'}"
"{'en': '24 hours\n', 'es': '24 horas.'}"
"{'en': 'http://dietitians.ca/', 'es': 'http://dietitians.ca/'}"
"{'en': 'http://dietitians.ca/\n', 'es': 'http://dietitians.ca/'}"
"{'en': '6.2 Incompatibilities', 'es': '21 6.2 Incompatibilidades'}"
"{'en': '6.2 Incompatibilities\n', 'es': '21 6.2 Incompatibilidades'}"
"{'en': '4.3 Contraindications', 'es': '4.3 Contraindicaciones'}"
"{'en': '4.3 Contraindications\n', 'es': '4.3 Contraindicaciones'}"
"{'en': '1999/34 Impunity', 'es': '1999/34 Impunidad'}"
"{'en': '1999/34 Impunity\n', 'es': '1999/34 Impunidad'}"
"{'en': 'http://www.ted.com/talks/miru_kim_s_underground_art.html', 'es': 'http://www.ted.com/talks/lang/es/miru_kim_s_underground_art.html'}"
"{'en': 'http://www.ted.com/talks/miru_kim_s_underground_art.html\n', 'es': 'http://www.ted.com/talks/lang/es/miru_kim_s_underground_art.html'}"
"{'en': 'Rebuilding Haiti', 'es': 'La reconstrucción de Haití'}"
"{'en': 'Reconstructing Haiti\n', 'es': 'La reconstrucción de Haití'}"
"{'en': 'Control of biopiracy', 'es': 'Cómo combatir la piratería'}"
"{'en': 'Fighting Biopiracy\n', 'es': 'Cómo combatir la piratería'}"
"{'en': '- Tom?', 'es': '- ¿Tom?'}"
"{'en': '- Tom?\n', 'es': '- ¿Tom?'}"
"{'en': '- Where?', 'es': '- ¿Dónde?'}"
"{'en': '- Where?\n', 'es': '- ¿Dónde?'}"
"{'en': '- $5,000.', 'es': '- $5,000.'}"
"{'en': '- $5,000.\n', 'es': '- $5,000.'}"
"{'en': '- Nothing.', 'es': '- Nada.'}"
"{'en': '- Nothing.\n', 'es': '- Nada.'}"
"{'en': 'Stan, are you okay?', 'es': 'Stan, estás bien?'}"
"{'en': 'stan,you okay?\n', 'es': 'Stan, estás bien?'}"
"{'en': '- Jubilee?', 'es': '- ¿Jubileo?'}"
"{'en': '- Jubilee?\n', 'es': '- ¿Jubileo?'}"
"{'en': '151: 6.', 'es': '151: 6.'}"
"{'en': '151: 6.\n', 'es': '151: 6.'}"
"{'en': ""Oh, that's right."", 'es': '- Ah.'}"
"{'en': '(Mohammed) Ah.\n', 'es': '- Ah.'}"
"{'en': '- Enough.', 'es': '- Suficiente.'}"
"{'en': '- Enough.\n', 'es': '- Suficiente.'}"
"{'en': '- Where?', 'es': '- ¿Dónde?'}"
"{'en': '- Where?\n', 'es': '- ¿Dónde?'}"
"{'en': '- Well?', 'es': '- Y?'}"
"{'en': '- So?\n', 'es': '- Y?'}"
"{'en': '- Honey?', 'es': '¿Cariño?'}"
"{'en': '- Darling?\n', 'es': '¿Cariño?'}"
"{'en': '- Stop him.', 'es': '- Arréstenle.'}"
"{'en': '-Arrest him.\n', 'es': '- Arréstenle.'}"
"{'en': '- Calm down!', 'es': '¡Silencio!'}"
"{'en': '- Quiet!\n', 'es': '¡Silencio!'}"
"{'en': ""- I'll investigate."", 'es': '- Lo investigaré.'}"
"{'en': ""-I'll investigate.\n"", 'es': '- Lo investigaré.'}"
"{'en': '- Curious?', 'es': '- ¿Sientes curiosidad?'}"
"{'en': '- Curious?\n', 'es': '- ¿Sientes curiosidad?'}"
"{'en': ""- I'm sorry."", 'es': '- Lo siento.'}"
"{'en': '- Sorry.\n', 'es': '- Lo siento.'}"
"{'en': '- Goodbye.', 'es': '- Adiós.'}"
"{'en': ""- 'Bye.\n"", 'es': '- Adiós.'}"
"{'en': '- Alex.', 'es': 'Alex.'}"
"{'en': '- Alex.\n', 'es': 'Alex.'}"
"{'en': '- Yes.', 'es': '- Hola'}"
"{'en': '- Hiii.\n', 'es': '- Hola'}"
"{'en': '- Goodbye.', 'es': '- Adiós.'}"
"{'en': '- Bye.\n', 'es': '- Adiós.'}"
"{'en': ""- That's terrible."", 'es': '- Terrible.'}"
"{'en': '- Terrible.\n', 'es': '- Terrible.'}"
"{'en': '- Hello.', 'es': '- Hola.'}"
"{'en': '- Hello.\n', 'es': '- Hola.'}"
"{'en': '- Rupert!', 'es': '- Rupert!'}"
"{'en': '- Rupert!\n', 'es': '- Rupert!'}"
"{'en': '- Open up.', 'es': 'Abiertas.'}"
"{'en': '- Open.\n', 'es': 'Abiertas.'}"
"{'en': '- Cigarettes?', 'es': '- ¿Cigarrillos?'}"
"{'en': '- Cigarettes?\n', 'es': '- ¿Cigarrillos?'}"
"{'en': '- Please.', 'es': '- Por favor.'}"
"{'en': '- Please.\n', 'es': '- Por favor.'}"
"{'en': '- Please.', 'es': '- Mercy.'}"
"{'en': '- Mercy.\n', 'es': '- Mercy.'}"
"{'en': '- Sabrina?', 'es': '- ¿Sabrina?'}"
"{'en': '- Sabrina?\n', 'es': '- ¿Sabrina?'}"
"{'en': '- Great.', 'es': '- Tengo un presentimiento.'}"
"{'en': '- Cool.\n', 'es': '- Tengo un presentimiento.'}"
"{'en': '- Edmond!', 'es': '¡Edmond!'}"
"{'en': '- Edmond!\n', 'es': '¡Edmond!'}"
"{'en': '""No.', 'es': '""No.'}"
"{'en': '""No.\n', 'es': '""No.'}"
"{'en': '- Abby!', 'es': '- ¡Abby!'}"
"{'en': '- Abby!\n', 'es': '- ¡Abby!'}"
"{'en': '85.', 'es': 'El 85.'}"
"{'en': ""'85.\n"", 'es': 'El 85.'}"
"{'en': '- The key?', 'es': '- ¿Llave?'}"
"{'en': '- Key?\n', 'es': '- ¿Llave?'}"
"{'en': '- Phonograph.', 'es': '- Fonografo.'}"
"{'en': '- Phonograph.\n', 'es': '- Fonografo.'}"
"{'en': '- Why?', 'es': '- ¿Por qué?'}"
"{'en': '- Why?\n', 'es': '- ¿Por qué?'}"
"{'en': '- Nothing.', 'es': '- Nada.'}"
"{'en': '- Nothing.\n', 'es': '- Nada.'}"
"{'en': '- Wow!', 'es': '- ¡Vaya!'}"
"{'en': '- Wow!\n', 'es': '- ¡Vaya!'}"
"{'en': '- Chief?', 'es': '- ¿Jefe?'}"
"{'en': '- Chief?\n', 'es': '- ¿Jefe?'}"
"{'en': '- Oh, my God!', 'es': '- Cristo.'}"
"{'en': '- Christ!\n', 'es': '- Cristo.'}"
"{'en': '- You!', 'es': '- ¡Usted!'}"
"{'en': '- You!\n', 'es': '- ¡Usted!'}"
"{'en': '- All right.', 'es': '- Vale.'}"
"{'en': '- Okay.\n', 'es': '- Vale.'}"
"{'en': '- Yeah!', 'es': '- ¡Sí!'}"
"{'en': '- Yeah!\n', 'es': '- ¡Sí!'}"
"{'en': '- Yeah!', 'es': '¡Sí!'}"
"{'en': '- Yeah!\n', 'es': '¡Sí!'}"
"{'en': '- Soon.', 'es': '-Pronto.'}"
"{'en': '- Soon.\n', 'es': '-Pronto.'}"
"{'en': '- Me?', 'es': '- ¿Yo?'}"
"{'en': '- Me?\n', 'es': '- ¿Yo?'}"
"{'en': '- Butter.', 'es': 'Butters.'}"
"{'en': '- Butters.\n', 'es': 'Butters.'}"
"{'en': '- All right.', 'es': '- De acuerdo.'}"
"{'en': '- Okay.\n', 'es': '- De acuerdo.'}"
"{'en': 'Right here.', 'es': 'cumpleaños allí mismo.'}"
"{'en': 'right there.\n', 'es': 'cumpleaños allí mismo.'}"
"{'en': ""- That's nice."", 'es': '- Gracias.'}"
"{'en': '- Thanks.\n', 'es': '- Gracias.'}"
"{'en': '- All right.', 'es': '- Fantástico.'}"
"{'en': '- Lovely.\n', 'es': '- Fantástico.'}"
"{'en': '- Calm down!', 'es': '- ¡Silencio!'}"
"{'en': '- Quiet!\n', 'es': '- ¡Silencio!'}"
"{'en': '- Great.', 'es': 'Espléndido.'}"
"{'en': '- Splendid.\n', 'es': 'Espléndido.'}"
"{'en': '- Colin?', 'es': '- ¿Colin?'}"
"{'en': '- Colin?\n', 'es': '- ¿Colin?'}"
"{'en': '- Yes.', 'es': '- Ajá.'}"
"{'en': '- Uh-huh.\n', 'es': '- Ajá.'}"
"{'en': '- Of course.', 'es': '- Claro.'}"
"{'en': '- Sure.\n', 'es': '- Claro.'}"
"{'en': '- Yes!', 'es': '-¡Sí!'}"
"{'en': '- Yes!\n', 'es': '-¡Sí!'}"
"{'en': '- Well.', 'es': '- Bueno.'}"
"{'en': '- Well.\n', 'es': '- Bueno.'}"
"{'en': '- Well?', 'es': '- ¿Bien?'}"
"{'en': '- Well?\n', 'es': '- ¿Bien?'}"
"{'en': '- Really?', 'es': '- ¿En serio?'}"
"{'en': '- Really?\n', 'es': '- ¿En serio?'}"
"{'en': '- All right.', 'es': '- Muy bien.'}"
"{'en': '- Okay.\n', 'es': '- Muy bien.'}"
"{'en': '- 700.', 'es': '- $700'}"
"{'en': '- 700.\n', 'es': '- $700'}"
"{'en': '- Already?', 'es': '- Ahora?'}"
"{'en': '- Already?\n', 'es': '- Ahora?'}"
"{'en': '- Dear Father...', 'es': '- Señor...'}"
"{'en': '-Dear Father...\n', 'es': '- Señor...'}"
"{'en': '- Nothing.', 'es': '- Nada.'}"
"{'en': '- Nothing.\n', 'es': '- Nada.'}"
"{'en': '- Is that funny?', 'es': '- ¿Divertido?'}"
"{'en': '- Funniest?\n', 'es': '- ¿Divertido?'}"
"{'en': '- Hello.', 'es': '- Hola.'}"
"{'en': '~ Hello.\n', 'es': '- Hola.'}"
"{'en': '- Yes.', 'es': '- Sí.'}"
"{'en': '- Yep.\n', 'es': '- Sí.'}"
"{'en': '- Permanent.', 'es': 'Permanentemente.'}"
"{'en': '- Permanent.\n', 'es': 'Permanentemente.'}"
"{'en': '- One more.', 'es': '-Una más.'}"
"{'en': '-One more.\n', 'es': '-Una más.'}"
"{'en': ""- That's nice."", 'es': '- Gracias.'}"
"{'en': '- Thanks.\n', 'es': '- Gracias.'}"
"{'en': '- Yes.', 'es': '¡Ya!'}"
"{'en': '- Mm.\n', 'es': '¡Ya!'}"
"{'en': '""Scoop"", Joaquim.', 'es': '""Exclusiva"", Joaquim.'}"
"{'en': '""Scoop,"" Joaquim.\n', 'es': '""Exclusiva"", Joaquim.'}"
"{'en': ""- That's not true."", 'es': '- Maldición.'}"
"{'en': '- Damn.\n', 'es': '- Maldición.'}"
"{'en': '""E. Lamb""?', 'es': '¿""E. Lamb""?'}"
"{'en': '""E. Lamb""?\n', 'es': '¿""E. Lamb""?'}"
"{'en': '- Look!', 'es': '-¡Mira!'}"
"{'en': '- Look!\n', 'es': '-¡Mira!'}"
"{'en': '- Man.', 'es': '-Varón.'}"
"{'en': '- Male.\n', 'es': '-Varón.'}"
"{'en': '- Four!', 'es': '- ¡Cuatro!'}"
"{'en': '- Four!\n', 'es': '- ¡Cuatro!'}"
"{'en': '- Yes?', 'es': '¿Si?'}"
"{'en': '- Yes?\n', 'es': '¿Si?'}"
"{'en': '- Of course.', 'es': '- Seguro.'}"
"{'en': '- Sure.\n', 'es': '- Seguro.'}"
"{'en': '- Who?', 'es': '- ¿De quién?'}"
"{'en': '- Who?\n', 'es': '- ¿De quién?'}"
"{'en': '- Tonight.', 'es': '- Todos nosotros.'}"
"{'en': '- Tonight.\n', 'es': '- Todos nosotros.'}"
"{'en': '- All right.', 'es': 'Está bien.'}"
"{'en': '- Okay.\n', 'es': 'Está bien.'}"
"{'en': '- All right.', 'es': '- Sí.'}"
"{'en': '- Okay.\n', 'es': '- Sí.'}"
"{'en': '- But...', 'es': '- Pero'}"
"{'en': '- But...\n', 'es': '- Pero'}"
"{'en': ""- It's fascinating."", 'es': '-Fascinante. ?'}"
"{'en': '- Fascinating.\n', 'es': '-Fascinante. ?'}"
"{'en': '- God beg you.', 'es': '-Dios no lo quiera.'}"
"{'en': '-God forbid.\n', 'es': '-Dios no lo quiera.'}"
"{'en': '- So what?', 'es': '- ¿Y?'}"
"{'en': '- And?\n', 'es': '- ¿Y?'}"
"{'en': '- Oh...', 'es': '- Oh...'}"
"{'en': '- Oh...\n', 'es': '- Oh...'}"
"{'en': '- All right.', 'es': 'Bien.'}"
"{'en': '- Okay.\n', 'es': 'Bien.'}"
"{'en': '- Oh, my God.', 'es': '- Dios.'}"
"{'en': '- God.\n', 'es': '- Dios.'}"
"{'en': '- Great.', 'es': '-Genial.'}"
"{'en': '- Great.\n', 'es': '-Genial.'}"
"{'en': '- All right.', 'es': '- Está bien.'}"
"{'en': '- Okay.\n', 'es': '- Está bien.'}"
"{'en': '- Yes, sir!', 'es': '-Sí, Señor.'}"
"{'en': '-Yes, Sir!\n', 'es': '-Sí, Señor.'}"
"{'en': '- Yes?', 'es': '- ¿Si?'}"
"{'en': '- Yes?\n', 'es': '- ¿Si?'}"
"{'en': '- Motherland!', 'es': '- Patria!'}"
"{'en': '- Motherland!\n', 'es': '- Patria!'}"
"{'en': '- Nothing.', 'es': '- Nada.'}"
"{'en': '- Nothing.\n', 'es': '- Nada.'}"
"{'en': 'Hello.', 'es': 'Hola.'}"
"{'en': '(SIGHS) Hey.\n', 'es': 'Hola.'}"
"{'en': '- You okay?', 'es': '- ¿OK?'}"
"{'en': '- OK?\n', 'es': '- ¿OK?'}"
"{'en': ""- It's Ruth."", 'es': '-Ruth s lt.'}"
"{'en': ""-lt's Ruth.\n"", 'es': '-Ruth s lt.'}"
"{'en': '- Edgar.', 'es': '- Edgar.'}"
"{'en': '- Edgar.\n', 'es': '- Edgar.'}"
"{'en': '- Dad.', 'es': '- Papá.'}"
"{'en': '- Papa.\n', 'es': '- Papá.'}"
"{'en': '- Now...', 'es': '- Bueno...'}"
"{'en': '- Now...\n', 'es': '- Bueno...'}"
"{'en': '- Wait.', 'es': '- Espera.'}"
"{'en': '- Wait.\n', 'es': '- Espera.'}"
"{'en': '- Yes.', 'es': '- Claro.'}"
"{'en': '- Right.\n', 'es': '- Claro.'}"
"{'en': '- I know.', 'es': '-Ya lo sé.'}"
"{'en': '-l know.\n', 'es': '-Ya lo sé.'}"
"{'en': ""- It's Tom."", 'es': '- Tom.'}"
"{'en': '- Tom.\n', 'es': '- Tom.'}"
"{'en': '- Yes.', 'es': 'Mm.'}"
"{'en': '- Mm.\n', 'es': 'Mm.'}"
"{'en': '- Well...', 'es': '- Pero...'}"
"{'en': '- Well...\n', 'es': '- Pero...'}"
"{'en': '7 Ibid., para.', 'es': '7 Ibidem.'}"
"{'en': '7 Ibid.\n', 'es': '7 Ibidem.'}"
"{'en': '- Why?', 'es': '- ¿Por qué?'}"
"{'en': '- Why?\n', 'es': '- ¿Por qué?'}"
"{'en': '- Hello.', 'es': '- Hola.'}"
"{'en': '- Hey.\n', 'es': '- Hola.'}"
"{'en': '- Of course.', 'es': 'Claro.'}"
"{'en': '- Sure.\n', 'es': 'Claro.'}"
"{'en': '- Yes?', 'es': '- ¿ Sí?'}"
"{'en': '- Yes?\n', 'es': '- ¿ Sí?'}"
"{'en': 'Visit of Hamas delegation to Saudi Arabia', 'es': 'Una delegación de Hamás visitó Arabia Saudita'}"
"{'en': 'Hamas Delegation Visits Saudi Arabia\n', 'es': 'Una delegación de Hamás visitó Arabia Saudita'}"
"{'en': 'Committee for Veterinary Medicinal Products', 'es': 'Seguridad de los'}"
"{'en': 'Committee for Veterinary Medicinal Products\n', 'es': 'Seguridad de los'}"
"{'en': 'United Nations Industrial Development Organization', 'es': 'Organización de las Naciones Unidas para el Desarrollo Industrial'}"
"{'en': 'United Nations Industrial Development Organization\n', 'es': 'Organización de las Naciones Unidas para el Desarrollo Industrial'}"
"{'en': 'EFTA Surveillance Authority Decision', 'es': 'Decisión del Órgano de Vigilancia de la AELC'}"
"{'en': 'EFTA Surveillance Authority Decision\n', 'es': 'Decisión del Órgano de Vigilancia de la AELC'}"
"{'en': 'Live modified organisms', 'es': 'Organismos Vivos Modificados'}"
"{'en': 'Living Modified Organisms\n', 'es': 'Organismos Vivos Modificados'}"
"{'en': 'Hotels in Canada', 'es': 'Hoteles en Portugal'}"
"{'en': 'Hotels in Canada\n', 'es': 'Hoteles en Portugal'}"
"{'en': 'Servicing of subsidiary bodies of the Security Council', 'es': 'Subdivisión de Órganos Subsidiarios del Consejo de Seguridad'}"
"{'en': 'Security Council Subsidiary Organs Branch\n', 'es': 'Subdivisión de Órganos Subsidiarios del Consejo de Seguridad'}"
"{'en': 'Colonel Tin Hsan', 'es': 'Coronel Tin Hsan'}"
"{'en': 'Colonel Tin Hsan\n', 'es': 'Coronel Tin Hsan'}"
"{'en': 'Sonder — Oberholz — Großer Horn', 'es': 'Sonder - Oberholz - Großer Horn'}"
"{'en': 'Sonder — Oberholz — Großer Horn\n', 'es': 'Sonder - Oberholz - Großer Horn'}"
"{'en': 'Hotels in Qatar', 'es': 'Hoteles en Sri Lanka'}"
"{'en': 'Hotels in Qatar\n', 'es': 'Hoteles en Sri Lanka'}"
"{'en': 'Member of the Institute of International Relations of Cameroon (IRIC)', 'es': '- Conferencia de Marrakech por la que se creó la Organización Mundial del Comercio (OMC);'}"
"{'en': 'Joined International Relations Institute of Cameroon (IRIC)\n', 'es': '- Conferencia de Marrakech por la que se creó la Organización Mundial del Comercio (OMC);'}"
"{'en': 'Joint Inspection Unit', 'es': 'Dependencia Común de Inspección'}"
"{'en': 'Joint Inspection Unit\n', 'es': 'Dependencia Común de Inspección'}"
"{'en': 'Court of Justice', 'es': 'Tribunal de Cuentas'}"
"{'en': 'Court of Justice\n', 'es': 'Tribunal de Cuentas'}"
"{'en': 'Radiotherapy', 'es': 'Radioterapia'}"
"{'en': 'Radiotherapy\n', 'es': 'Radioterapia'}"
"{'en': 'Periodicity', 'es': 'Periodicidad'}"
"{'en': 'Periodicity\n', 'es': 'Periodicidad'}"
"{'en': 'CEREALS', 'es': 'CEREALES'}"
"{'en': 'CEREALS\n', 'es': 'CEREALES'}"
"{'en': 'Remediation of sites', 'es': 'Rehabilitación del emplazamiento'}"
"{'en': 'Site remediation\n', 'es': 'Rehabilitación del emplazamiento'}"
"{'en': 'Violence', 'es': 'Secuestro'}"
"{'en': 'Violence\n', 'es': 'Secuestro'}"
"{'en': 'Resistance', 'es': 'Concentración'}"
"{'en': 'Strength\n', 'es': 'Concentración'}"
"{'en': 'Single Article', 'es': 'Artículo único'}"
"{'en': 'Sole Article\n', 'es': 'Artículo único'}"
"{'en': 'Reservations', 'es': 'Reservas'}"
"{'en': 'Reservations\n', 'es': 'Reservas'}"
"{'en': 'Draft resolution', 'es': 'Proyecto de resolución'}"
"{'en': 'Draft resolution\n', 'es': 'Proyecto de resolución'}"
"{'en': 'Products', 'es': 'Productos'}"
"{'en': 'Outputs\n', 'es': 'Productos'}"
"{'en': 'Recommendations', 'es': 'Recomendaciones'}"
"{'en': 'Recommendations\n', 'es': 'Recomendaciones'}"
"{'en': 'Opinion-makers', 'es': 'Formadores de opinión'}"
"{'en': 'Opinion makers\n', 'es': 'Formadores de opinión'}"
"{'en': 'References', 'es': 'Referencias'}"
"{'en': 'References\n', 'es': 'Referencias'}"
"{'en': 'Chapter E', 'es': 'Sección E'}"
"{'en': 'Section E\n', 'es': 'Sección E'}"
"{'en': 'General rules', 'es': 'Normas generales'}"
"{'en': 'General rules\n', 'es': 'Normas generales'}"
"{'en': 'This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union.', 'es': 'Conclusión'}"
"{'en': 'Conclusion\n', 'es': 'Conclusión'}"
"{'en': 'Eritrea', 'es': 'Eritrea'}"
"{'en': 'Eritrea\n', 'es': 'Eritrea'}"
"{'en': 'The President', 'es': 'ANEXO'}"
"{'en': 'ANNEX\n', 'es': 'ANEXO'}"
"{'en': 'This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union.', 'es': 'Conclusión'}"
"{'en': 'Conclusion\n', 'es': 'Conclusión'}"
"{'en': 'Paragraphs Page', 'es': 'Párrafos Página'}"
"{'en': 'Paragraphs Page\n', 'es': 'Párrafos Página'}"
"{'en': 'Skills activities', 'es': 'Actividades para adquirir competencias'}"
"{'en': 'Skills activities\n', 'es': 'Actividades para adquirir competencias'}"
"{'en': 'Contents', 'es': 'ÍNDICE'}"
"{'en': 'Contents\n', 'es': 'ÍNDICE'}"
"{'en': 'Committee procedures', 'es': 'Comitología'}"
"{'en': 'Committee procedures\n', 'es': 'Comitología'}"
"{'en': 'Show options', 'es': 'Mostrar opciones'}"
"{'en': 'Show options\n', 'es': 'Mostrar opciones'}"
"{'en': 'Remarks', 'es': 'Notas'}"
"{'en': 'Notes\n', 'es': 'Notas'}"
"{'en': 'Remarks', 'es': 'Comentarios'}"
"{'en': 'Remarks\n', 'es': 'Comentarios'}"
"{'en': 'Total quantity', 'es': 'Cantidad total'}"
"{'en': 'Total quantity\n', 'es': 'Cantidad total'}"
"{'en': 'Duration', 'es': 'Duración'}"
"{'en': 'Duration\n', 'es': 'Duración'}"
"{'en': 'Bird-billed dogfish', 'es': 'Tollo pajarito'}"
"{'en': 'Birdbeak dogfish\n', 'es': 'Tollo pajarito'}"
"{'en': 'Consolidated list', 'es': 'Lista unificada'}"
"{'en': 'Consolidated List\n', 'es': 'Lista unificada'}"
"{'en': 'Algae flour', 'es': 'Harina de algas'}"
"{'en': 'Seaweed meal\n', 'es': 'Harina de algas'}"
"{'en': 'Preliminary remark', 'es': 'Observación preliminar'}"
"{'en': 'Preliminary remark\n', 'es': 'Observación preliminar'}"
"{'en': 'COUNCIL DECISION', 'es': 'DECISIÓN DEL CONSEJO'}"
"{'en': 'COUNCIL DECISION\n', 'es': 'DECISIÓN DEL CONSEJO'}"
"{'en': 'Global loans', 'es': 'Préstamos globales'}"
"{'en': 'Global loans\n', 'es': 'Préstamos globales'}"
"{'en': 'Contents', 'es': 'Índice'}"
"{'en': 'Contents\n', 'es': 'Índice'}"
"{'en': 'Withdrawal', 'es': 'Tamaño de envase'}"
"{'en': 'Withdrawal\n', 'es': 'Tamaño de envase'}"
"{'en': 'Code', 'es': 'Epígrafe'}"
"{'en': 'Code\n', 'es': 'Epígrafe'}"
"{'en': 'Council Decision', 'es': 'Decisión del Consejo'}"
"{'en': 'Council Decision\n', 'es': 'Decisión del Consejo'}"
"{'en': 'Centre', 'es': 'Kampiringisa'}"
"{'en': 'Centre\n', 'es': 'Kampiringisa'}"
"{'en': 'Madcap', 'es': 'Madcap'}"
"{'en': 'Madcap\n', 'es': 'Madcap'}"
"{'en': 'Advanced technology', 'es': 'Tecnología avanzada'}"
"{'en': 'Advanced technology\n', 'es': 'Tecnología avanzada'}"
"{'en': 'Unemployment rate', 'es': 'Tasa de desempleo;'}"
"{'en': 'Unemployment rate\n', 'es': 'Tasa de desempleo;'}"
"{'en': 'Prosecutors', 'es': 'Fiscales'}"
"{'en': 'Prosecutors\n', 'es': 'Fiscales'}"
"{'en': 'Production', 'es': 'Producción'}"
"{'en': 'Production\n', 'es': 'Producción'}"
"{'en': 'WORKING CONDITIONS', 'es': 'CONDICIONES DE TRABAJO'}"
"{'en': 'WORKING CONDITIONS\n', 'es': 'CONDICIONES DE TRABAJO'}"
"{'en': 'Minors', 'es': 'Juveniles'}"
"{'en': 'Juveniles\n', 'es': 'Juveniles'}"
"{'en': 'Universal accession', 'es': 'Adhesión universal'}"
"{'en': 'Universal adherence\n', 'es': 'Adhesión universal'}"
"{'en': 'Unknown content', 'es': 'Contenido desconocido'}"
"{'en': 'Unknown content\n', 'es': 'Contenido desconocido'}"
"{'en': 'Final', 'es': 'Final'}"
"{'en': 'Finale\n', 'es': 'Final'}"
"{'en': 'General information', 'es': 'Información general'}"
"{'en': 'General information\n', 'es': 'Información general'}"
"{'en': 'Tel.', 'es': 'Del'}"
"{'en': 'Del\n', 'es': 'Del'}"
"{'en': 'Reading List Window', 'es': 'Ventana de la lista de reproducción'}"
"{'en': 'Playlist window\n', 'es': 'Ventana de la lista de reproducción'}"
"{'en': 'Structure', 'es': 'Estructura'}"
"{'en': 'Structure\n', 'es': 'Estructura'}"
"{'en': 'Communication sent', 'es': 'Comunicación enviada'}"
"{'en': 'Communication sent\n', 'es': 'Comunicación enviada'}"
"{'en': 'Commission Decision', 'es': 'Decisión de la Comisión'}"
"{'en': 'Commission Decision\n', 'es': 'Decisión de la Comisión'}"
"{'en': 'Organizational matters', 'es': 'Cuestiones de organización'}"
"{'en': 'Organizational matters\n', 'es': 'Cuestiones de organización'}"
