translation
"{'en': 'Print Preview', 'af': 'Druk Voorskou...'}"
"{'en': 'Address:', 'af': 'ip adres :'}"
"{'en': 'Address :\n', 'af': 'ip adres :'}"
"{'en': 'Strictness:', 'af': 'Strengheid:'}"
"{'en': 'Strictness:\n', 'af': 'Strengheid:'}"
"{'en': 'Artist:', 'af': 'Kunstenaar:'}"
"{'en': 'Artist:\n', 'af': 'Kunstenaar:'}"
"{'en': 'Scheme:', 'af': 'Spoed:'}"
"{'en': 'Speed:\n', 'af': 'Spoed:'}"
"{'en': 'Place:', 'af': 'Ligging :'}"
"{'en': 'Location :\n', 'af': 'Ligging :'}"
"{'en': 'Oh, my God.', 'af': 'Sterre'}"
"{'en': 'chi\n', 'af': 'Sterre'}"
"{'en': 'Cale_ndar', 'af': 'Kale_nder'}"
"{'en': 'Cale_ndar\n', 'af': 'Kale_nder'}"
"{'en': '_Receive All', 'af': 'Ontvang'}"
"{'en': 'R_eceive All\n', 'af': 'Ontvang'}"
"{'en': 'Sphere:', 'af': 'Sfeer:'}"
"{'en': 'Sphere:\n', 'af': 'Sfeer:'}"
"{'en': 'Guidance:', 'af': 'Gradiënt:'}"
"{'en': 'Orientation:\n', 'af': 'Gradiënt:'}"
"{'en': 'kbps', 'af': 'kbps'}"
"{'en': 'kbps\n', 'af': 'kbps'}"
"{'en': 'Gallery:', 'af': 'Galery :'}"
"{'en': 'Gallery :\n', 'af': 'Galery :'}"
"{'en': 'Comment:', 'af': 'Kommentaar :'}"
"{'en': 'Comment :\n', 'af': 'Kommentaar :'}"
"{'en': 'Mode:', 'af': 'Modus :'}"
"{'en': 'Mode :\n', 'af': 'Modus :'}"
"{'en': 'Heaven:', 'af': 'Lug:'}"
"{'en': 'Sky:\n', 'af': 'Lug:'}"
"{'en': 'Number:', 'af': 'Nommer:'}"
"{'en': 'Number:\n', 'af': 'Nommer:'}"
"{'en': 'arrested', 'af': 'op gehouprocess status'}"
"{'en': 'stopped\n', 'af': 'op gehouprocess status'}"
"{'en': 'Attachments:', 'af': 'Aanhangsels'}"
"{'en': 'Attachments:\n', 'af': 'Aanhangsels'}"
"{'en': 'dry', 'af': 'sekondes'}"
"{'en': 'sec\n', 'af': 'sekondes'}"
"{'en': '_Type:', 'af': 'T_ipe:'}"
"{'en': 'T_ype:\n', 'af': 'T_ipe:'}"
"{'en': 'to the General Assembly', 'af': 'na'}"
"{'en': 'to\n', 'af': 'na'}"
"{'en': 'Scheme:', 'af': 'Spoed:'}"
"{'en': 'Speed:\n', 'af': 'Spoed:'}"
"{'en': 'OCT2BIN(value)', 'af': 'Oct2bin( waarde)'}"
"{'en': 'OCT2BIN(value)\n', 'af': 'Oct2bin( waarde)'}"
"{'en': 'Diameter:', 'af': 'Palette'}"
"{'en': 'Diameter:\n', 'af': 'Palette'}"
"{'en': 'vjcomp in', 'af': 'vjcomp in'}"
"{'en': 'vjcomp in\n', 'af': 'vjcomp in'}"
"{'en': 'Human Rights', 'af': 'TirEthiopian month 6 - LongNamePossessive'}"
"{'en': 'of Gen\n', 'af': 'TirEthiopian month 6 - LongNamePossessive'}"
"{'en': 'is flagged', 'af': 'is gemerk'}"
"{'en': 'is Flagged\n', 'af': 'is gemerk'}"
"{'en': 'third', 'af': 'derde'}"
"{'en': 'third\n', 'af': 'derde'}"
"{'en': 'Mesage:', 'af': 'Bood_skap:'}"
"{'en': 'Mes_sage:\n', 'af': 'Bood_skap:'}"
"{'en': 'Border:', 'af': 'Ongeorden'}"
"{'en': 'Border :\n', 'af': 'Ongeorden'}"
"{'en': 'WxMaxima', 'af': 'wxMaxima'}"
"{'en': 'wxMaxima\n', 'af': 'wxMaxima'}"
"{'en': 'Output:', 'af': 'Uitset:'}"
"{'en': 'Output:\n', 'af': 'Uitset:'}"
"{'en': 'vs', 'af': 'teen'}"
"{'en': 'vs\n', 'af': 'teen'}"
"{'en': 'Conditions:', 'af': 'Toestande:'}"
"{'en': 'Conditions:\n', 'af': 'Toestande:'}"
"{'en': 'Group:', 'af': 'Groep:'}"
"{'en': 'Group:\n', 'af': 'Groep:'}"
"{'en': 'iPod initialized', 'af': 'iPod GeÃ¯nisialiseer'}"
"{'en': 'iPod Initialized\n', 'af': 'iPod GeÃ¯nisialiseer'}"
"{'en': 'unknown', 'af': '[onbekende]'}"
"{'en': 'unknown\n', 'af': '[onbekende]'}"
"{'en': 'Size:', 'af': 'Grootte :'}"
"{'en': 'Size :\n', 'af': 'Grootte :'}"
"{'en': 'Beta +', 'af': 'NutraleStable isotope'}"
"{'en': 'Beta +\n', 'af': 'NutraleStable isotope'}"
"{'en': 'a', 'af': 'chess-file'}"
"{'en': 'a\n', 'af': 'chess-file'}"
"{'en': 'Pronunciation:', 'af': 'Web bladsy :'}"
"{'en': 'Pronunciation :\n', 'af': 'Web bladsy :'}"
"{'en': 'Easter', 'af': 'uitblaaiprocess status'}"
"{'en': 'paging\n', 'af': 'uitblaaiprocess status'}"
"{'en': 'Weight:', 'af': 'Gewig:'}"
"{'en': 'Weight:\n', 'af': 'Gewig:'}"
"{'en': '_Height:', 'af': 'Hoogt_e:'}"
"{'en': 'H_eight:\n', 'af': 'Hoogt_e:'}"
"{'en': 'of Māgh', 'af': 'van Maart'}"
"{'en': 'of Māgh\n', 'af': 'van Maart'}"
"{'en': 'Propre_rties', 'af': 'Eie_nskappe'}"
"{'en': 'Prope_rties\n', 'af': 'Eie_nskappe'}"
"{'en': 'unknown', 'af': 'onbekend'}"
"{'en': 'unknown\n', 'af': 'onbekend'}"
"{'en': 'beat', 'af': 'ritme'}"
"{'en': 'beat\n', 'af': 'ritme'}"
"{'en': 'unknown', 'af': 'onbekend'}"
"{'en': 'unknown\n', 'af': 'onbekend'}"
"{'en': 'Telescopes:', 'af': 'Planeet'}"
"{'en': 'Telescopes:\n', 'af': 'Planeet'}"
"{'en': 'Light:', 'af': 'Lig:'}"
"{'en': 'Light:\n', 'af': 'Lig:'}"
"{'en': ""Isn't that right?"", 'af': 'n.v.t.'}"
"{'en': 'nan\n', 'af': 'n.v.t.'}"
"{'en': 'AUTOSTART_DIR', 'af': 'OUTOBEGINGIDS'}"
"{'en': 'AUTOSTART_DIR\n', 'af': 'OUTOBEGINGIDS'}"
"{'en': ""That's right."", 'af': 'R :'}"
"{'en': 'R :\n', 'af': 'R :'}"
"{'en': 'Yes.', 'af': 'Y:'}"
"{'en': 'SY:\n', 'af': 'Y:'}"
"{'en': 'Yes.', 'af': 'Y :'}"
"{'en': 'Y :\n', 'af': 'Y :'}"
"{'en': 'URL:', 'af': 'URL:'}"
"{'en': 'URL:\n', 'af': 'URL:'}"
"{'en': 'RANDNEGBINOM(4 )', 'af': 'Rand ( )'}"
"{'en': 'RANDNEGBINOM(4 )\n', 'af': 'Rand ( )'}"
"{'en': 'Yes.', 'af': 'Y:'}"
"{'en': 'Y:\n', 'af': 'Y:'}"
"{'en': 'Q.921', 'af': 'Q. 921'}"
"{'en': 'Q.921\n', 'af': 'Q. 921'}"
"{'en': '_Documents', 'af': '_Dokumente'}"
"{'en': '_Documents\n', 'af': '_Dokumente'}"
"{'en': '200%', 'af': '200%'}"
"{'en': '200%\n', 'af': '200%'}"
"{'en': '%2', 'af': ""' Hot New Stuff ' Verskaffers""}"
"{'en': '%2\n', 'af': ""' Hot New Stuff ' Verskaffers""}"
"{'en': '_Perl', 'af': '_Persoonlik'}"
"{'en': '_Perl\n', 'af': '_Persoonlik'}"
"{'en': '_Encryption', 'af': '_Enkripsie'}"
"{'en': '_Encryption\n', 'af': '_Enkripsie'}"
"{'en': '%ih%02im', 'af': '%iu.%02im.'}"
"{'en': '%ih%02im\n', 'af': '%iu.%02im.'}"
"{'en': '_Confidential', 'af': '_Vertroulik'}"
"{'en': '_Confidential\n', 'af': '_Vertroulik'}"
"{'en': '_Retry', 'af': 'P_robeer weer'}"
"{'en': '_Retry\n', 'af': 'P_robeer weer'}"
"{'en': 'dvd::rip queue', 'af': 'dvd::rip tou'}"
"{'en': 'dvd::rip queue\n', 'af': 'dvd::rip tou'}"
"{'en': '_Categories', 'af': '_Kategorieë'}"
"{'en': '_Categories\n', 'af': '_Kategorieë'}"
"{'en': '_User', 'af': 'Gebr_uiker'}"
"{'en': '_User\n', 'af': 'Gebr_uiker'}"
"{'en': '100 %', 'af': '100%'}"
"{'en': '100%\n', 'af': '100%'}"
"{'en': '_Task', 'af': '_Taak'}"
"{'en': '_Task\n', 'af': '_Taak'}"
"{'en': '%1', 'af': '@ item/ plain'}"
"{'en': '%1\n', 'af': '@ item/ plain'}"
"{'en': '_Scores', 'af': '_Tellings'}"
"{'en': '_Scores\n', 'af': '_Tellings'}"
"{'en': '_Tools', 'af': '_Gereedskap'}"
"{'en': '_Tools\n', 'af': '_Gereedskap'}"
"{'en': '& Properties', 'af': 'Projek Opsies...'}"
"{'en': '& Properties\n', 'af': 'Projek Opsies...'}"
"{'en': '_Tasks', 'af': '_Take'}"
"{'en': '_Tasks\n', 'af': '_Take'}"
"{'en': '_Shuffle', 'af': '_Skommel'}"
"{'en': '_Shuffle\n', 'af': '_Skommel'}"
"{'en': '_Properties', 'af': '_Eienskappe'}"
"{'en': '_Properties\n', 'af': '_Eienskappe'}"
"{'en': '_minutes', 'af': '_minute'}"
"{'en': '_minutes\n', 'af': '_minute'}"
"{'en': '_Preferences', 'af': 'Voorkeure'}"
"{'en': '_Preferences\n', 'af': 'Voorkeure'}"
"{'en': '_Series', 'af': '_Kantbalk'}"
"{'en': '_Sidebar\n', 'af': '_Kantbalk'}"
"{'en': 'time(s)', 'af': 'tyd( s )'}"
"{'en': 'time(s )\n', 'af': 'tyd( s )'}"
"{'en': '_Underline', 'af': 'Gebruik onderstreep'}"
"{'en': '_Underline\n', 'af': 'Gebruik onderstreep'}"
"{'en': '_Project', 'af': '_Projek'}"
"{'en': '_Project\n', 'af': '_Projek'}"
"{'en': '_User', 'af': 'Gebr_uiker'}"
"{'en': '_User\n', 'af': 'Gebr_uiker'}"
"{'en': '_Properties', 'af': '_Eienskappe'}"
"{'en': '_Properties\n', 'af': '_Eienskappe'}"
"{'en': '0%', 'af': '0%'}"
"{'en': '0%\n', 'af': '0%'}"
"{'en': '_Categories', 'af': '_Kategorieë'}"
"{'en': '_Categories\n', 'af': '_Kategorieë'}"
"{'en': '_Options', 'af': '_Laai keuses'}"
"{'en': '_Options\n', 'af': '_Laai keuses'}"
"{'en': '_Defaults', 'af': '_Verstekwaardes'}"
"{'en': '_Defaults\n', 'af': '_Verstekwaardes'}"
"{'en': '16000%', 'af': '1600%'}"
"{'en': '1600%\n', 'af': '1600%'}"
"{'en': '_Shuffle', 'af': 'Harwar'}"
"{'en': '_Shuffle\n', 'af': 'Harwar'}"
"{'en': '_Classification', 'af': '_Klassifikasie'}"
"{'en': '_Classification\n', 'af': '_Klassifikasie'}"
"{'en': '_Harddisk', 'af': '_Hardeskyf'}"
"{'en': '_Harddisk\n', 'af': '_Hardeskyf'}"
"{'en': '_Preferences', 'af': '_Voorkeure'}"
"{'en': '_Preferences\n', 'af': '_Voorkeure'}"
"{'en': '_Settings', 'af': '_Opstelling'}"
"{'en': '_Settings\n', 'af': '_Opstelling'}"
"{'en': 'licences;', 'af': 'ander lisensiehouers sal benadeel nie;'}"
"{'en': 'licencees;\n', 'af': 'ander lisensiehouers sal benadeel nie;'}"
"{'en': '_Extract', 'af': '_Pak uit'}"
"{'en': '_Extract\n', 'af': '_Pak uit'}"
"{'en': '%2est', 'af': '%2is.'}"
"{'en': '%2is\n', 'af': '%2is.'}"
"{'en': '_Project', 'af': '_Projek'}"
"{'en': '_Project\n', 'af': '_Projek'}"
"{'en': '_Confidential', 'af': '_Vertroulik'}"
"{'en': '_Confidential\n', 'af': '_Vertroulik'}"
"{'en': '_Properties', 'af': '_Eienskappe'}"
"{'en': '_Properties\n', 'af': '_Eienskappe'}"
"{'en': '------Original message------', 'af': '-----Oorspronklike boodskap-----'}"
"{'en': '-----Original Message-----\n', 'af': '-----Oorspronklike boodskap-----'}"
"{'en': '_Settings', 'af': '_Opstelling'}"
"{'en': '_Settings\n', 'af': '_Opstelling'}"
"{'en': '_Archive', 'af': '_Argief'}"
"{'en': '_Archive\n', 'af': '_Argief'}"
"{'en': '_System', 'af': '_Stelsel'}"
"{'en': '_System\n', 'af': '_Stelsel'}"
"{'en': '_Bin', 'af': '_Bin'}"
"{'en': '_Bin\n', 'af': '_Bin'}"
"{'en': '_Authorize', 'af': '_Outoverberg'}"
"{'en': '_Autohide\n', 'af': '_Outoverberg'}"
"{'en': '175 %', 'af': '175%'}"
"{'en': '175%\n', 'af': '175%'}"
"{'en': '70 %', 'af': '70%'}"
"{'en': '70%\n', 'af': '70%'}"
"{'en': 'by T_ype', 'af': 'Volgens _tipe'}"
"{'en': 'by T_ype\n', 'af': 'Volgens _tipe'}"
"{'en': '_Pause', 'af': '_Laat wag'}"
"{'en': '_Pause\n', 'af': '_Laat wag'}"
"{'en': '_Tools', 'af': '_Nutsgoed'}"
"{'en': '_Tools\n', 'af': '_Nutsgoed'}"
"{'en': '_Tasks', 'af': '_Take'}"
"{'en': '_Tasks\n', 'af': '_Take'}"
"{'en': '_Settings', 'af': '_Opstelling'}"
"{'en': '_Settings\n', 'af': '_Opstelling'}"
"{'en': '%B', 'af': 'CalItem'}"
"{'en': '%B\n', 'af': 'CalItem'}"
"{'en': '_Blic', 'af': 'Pu_bliek'}"
"{'en': 'Pu_blic\n', 'af': 'Pu_bliek'}"
"{'en': 'Type:', 'af': 'Genre:'}"
"{'en': 'Genre:\n', 'af': 'Genre:'}"
"{'en': 'St_rategies available', 'af': 'Beskikbare st_rategieë'}"
"{'en': 'Available St_rategies\n', 'af': 'Beskikbare st_rategieë'}"
"{'en': 'XYZ/ Alpha', 'af': 'Cmyk + alfa kanaal'}"
"{'en': 'XYZ/ Alpha\n', 'af': 'Cmyk + alfa kanaal'}"
"{'en': 'Africa/Kigali', 'af': 'Afrika/ Kigali'}"
"{'en': 'Africa/ Kigali\n', 'af': 'Afrika/ Kigali'}"
"{'en': '_Organizer:', 'af': 'Or_ganiseerder:'}"
"{'en': 'Or_ganizer:\n', 'af': 'Or_ganiseerder:'}"
"{'en': 'IMSIN(chain)', 'af': 'Imsin( string )'}"
"{'en': 'IMSIN(string )\n', 'af': 'Imsin( string )'}"
"{'en': 'America/ Santo_Domingo', 'af': 'America/ Santo_ Domingo'}"
"{'en': 'America/ Santo_Domingo\n', 'af': 'America/ Santo_ Domingo'}"
"{'en': 'Find _Precious', 'af': 'Vind vor_ige'}"
"{'en': 'Find Pre_vious\n', 'af': 'Vind vor_ige'}"
"{'en': 'Start with:', 'af': 'Belize'}"
"{'en': 'Begin:\n', 'af': 'Belize'}"
"{'en': 'COM-10', 'af': 'Com- 10'}"
"{'en': 'Com-10\n', 'af': 'Com- 10'}"
"{'en': 'Europe/ Vaduz', 'af': 'Europa/ Vaduz'}"
"{'en': 'Europe/ Vaduz\n', 'af': 'Europa/ Vaduz'}"
"{'en': '_Hide', 'af': '_Versteek'}"
"{'en': 'H_ide\n', 'af': '_Versteek'}"
"{'en': '_Character:', 'af': 'K_arakter:'}"
"{'en': 'Ch_aracter:\n', 'af': 'K_arakter:'}"
"{'en': '_Attack', 'af': '_Heg aan'}"
"{'en': 'A_ttach\n', 'af': '_Heg aan'}"
"{'en': 'Africa/Freetown', 'af': 'Afrika/ Freetown'}"
"{'en': 'Africa/ Freetown\n', 'af': 'Afrika/ Freetown'}"
"{'en': 'Digest:', 'af': 'MD5 bondel:'}"
"{'en': 'Digest:\n', 'af': 'MD5 bondel:'}"
"{'en': 'F _nd', 'af': 'Vi_nd'}"
"{'en': 'Fi_nd\n', 'af': 'Vi_nd'}"
"{'en': 'Indian/ Cocos', 'af': 'IndiÃ«/ Cocos'}"
"{'en': 'Indian/ Cocos\n', 'af': 'IndiÃ«/ Cocos'}"
"{'en': '_Thu', 'af': 'D_o.'}"
"{'en': 'T_hu\n', 'af': 'D_o.'}"
"{'en': 'Isotopesize:', 'af': 'Allotrope'}"
"{'en': 'Isotopesize:\n', 'af': 'Allotrope'}"
"{'en': '_Chat', 'af': '_Gesels'}"
"{'en': 'C_hat\n', 'af': '_Gesels'}"
"{'en': 'Me:', 'af': 'Ek:'}"
"{'en': 'Me:\n', 'af': 'Ek:'}"
"{'en': 'Me:', 'af': 'Ek:'}"
"{'en': 'Me:\n', 'af': 'Ek:'}"
"{'en': 'ACOS(Float)', 'af': 'Acos( Dryf)'}"
"{'en': 'ACOS(Float)\n', 'af': 'Acos( Dryf)'}"
"{'en': 'Username:', 'af': 'G_ebruikernaam'}"
"{'en': 'Username:\n', 'af': 'G_ebruikernaam'}"
"{'en': 'Server:', 'af': '_Bediener:'}"
"{'en': 'Server:\n', 'af': '_Bediener:'}"
"{'en': 'Filling:', 'af': 'Opvul :'}"
"{'en': 'Filling :\n', 'af': 'Opvul :'}"
"{'en': 'Creation:', 'af': 'Geskep:'}"
"{'en': 'Created:\n', 'af': 'Geskep:'}"
"{'en': 'Pulled:', 'af': 'Gelykop:'}"
"{'en': 'Drawn:\n', 'af': 'Gelykop:'}"
"{'en': 'Wrong:', 'af': 'Verkeerde :'}"
"{'en': 'Wrong :\n', 'af': 'Verkeerde :'}"
"{'en': 'St. Cloud', 'af': 'St. WolkCity name (optional, probably does not need a translation)'}"
"{'en': 'St. Cloud\n', 'af': 'St. WolkCity name (optional, probably does not need a translation)'}"
"{'en': ""N'Djamina"", 'af': 'LeonCity in Charente- Maritime France'}"
"{'en': ""N'djamina\n"", 'af': 'LeonCity in Charente- Maritime France'}"
"{'en': ""Ra'anana"", 'af': 'City in British Columbia Canada'}"
"{'en': ""Ra'anana\n"", 'af': 'City in British Columbia Canada'}"
"{'en': 'Kg/ m3', 'af': '% 1 g/ cm^3density unit symbol'}"
"{'en': 'Kg/ m³\n', 'af': '% 1 g/ cm^3density unit symbol'}"
"{'en': 'SECOND(hour)', 'af': 'Sekondes( tyd)'}"
"{'en': 'SECONDS(time)\n', 'af': 'Sekondes( tyd)'}"
"{'en': 'We_name:', 'af': 'G_ebruikernaam'}"
"{'en': 'Us_ername:\n', 'af': 'G_ebruikernaam'}"
"{'en': 'America/ St-Johns', 'af': 'Amerika/ St_ Johns'}"
"{'en': 'America/ St_Johns\n', 'af': 'Amerika/ St_ Johns'}"
"{'en': 'America/Louisville', 'af': 'Amerika/ Louisville'}"
"{'en': 'America/ Louisville\n', 'af': 'Amerika/ Louisville'}"
"{'en': 'Modified:', 'af': 'Veranderde:'}"
"{'en': 'Modified:\n', 'af': 'Veranderde:'}"
"{'en': '_Plicer', 'af': '_Pas toe'}"
"{'en': 'A_pply\n', 'af': '_Pas toe'}"
"{'en': 'Refresh:', 'af': 'Vervris Tempo'}"
"{'en': 'Refresh:\n', 'af': 'Vervris Tempo'}"
"{'en': 'Username:', 'af': 'Gebruikernaam:'}"
"{'en': 'Username:\n', 'af': 'Gebruikernaam:'}"
"{'en': 'Start:', 'af': 'Begin:'}"
"{'en': 'Start:\n', 'af': 'Begin:'}"
"{'en': 'J. Awal', 'af': 'J. Awal'}"
"{'en': 'J. Awal\n', 'af': 'J. Awal'}"
"{'en': 'Specific:', 'af': 'Spesifiseer'}"
"{'en': 'Specified:\n', 'af': 'Spesifiseer'}"
"{'en': 'Constant:', 'af': 'Konstantes'}"
"{'en': 'Constant :\n', 'af': 'Konstantes'}"
"{'en': 'Vaporous:', 'af': 'Damp'}"
"{'en': 'Vaporous:\n', 'af': 'Damp'}"
"{'en': ""N'Djamina"", 'af': 'BahrainCity in Algeria'}"
"{'en': ""N'djamina\n"", 'af': 'BahrainCity in Algeria'}"
"{'en': 'Africa/Dar_es_Salaam', 'af': 'Afrika/ Dar_ es_ Salaam'}"
"{'en': 'Africa/ Dar_es_Salaam\n', 'af': 'Afrika/ Dar_ es_ Salaam'}"
"{'en': 'Lat:', 'af': 'Latyn: seconds'}"
"{'en': 'Lat:\n', 'af': 'Latyn: seconds'}"
"{'en': 'America/ St_Thomas', 'af': 'Amerika/ St_ Thomas'}"
"{'en': 'America/ St_Thomas\n', 'af': 'Amerika/ St_ Thomas'}"
"{'en': 'Start:', 'af': 'Begin:'}"
"{'en': 'Start:\n', 'af': 'Begin:'}"
"{'en': 'Digest:', 'af': 'MD5 bondel :'}"
"{'en': 'Digest :\n', 'af': 'MD5 bondel :'}"
"{'en': '_Nundent', 'af': 'Ont_keep'}"
"{'en': 'U_nindent\n', 'af': 'Ont_keep'}"
"{'en': 'EKg/ m3', 'af': '% 1 g/ cm^3density unit symbol'}"
"{'en': 'EKg/ m³\n', 'af': '% 1 g/ cm^3density unit symbol'}"
"{'en': 'You:', 'af': 'U:'}"
"{'en': 'You:\n', 'af': 'U:'}"
"{'en': '_Attack', 'af': '_Heg aan'}"
"{'en': 'A_ttach\n', 'af': '_Heg aan'}"
"{'en': 'Alt+1', 'af': 'Alt+1'}"
"{'en': 'Alt+1\n', 'af': 'Alt+1'}"
"{'en': 'Repeat:', 'af': 'Reflekteer'}"
"{'en': 'Repeat :\n', 'af': 'Reflekteer'}"
"{'en': 'Sig_natures', 'af': 'Handtekeninge'}"
"{'en': 'Sig_natures\n', 'af': 'Handtekeninge'}"
"{'en': 'Untitled-%d', 'af': 'Naamloos-%d'}"
"{'en': 'Untitled-%d\n', 'af': 'Naamloos-%d'}"
"{'en': '_Plicer', 'af': '_Pas toe'}"
"{'en': 'A_pply\n', 'af': '_Pas toe'}"
"{'en': 'No _w', 'af': 'No_u'}"
"{'en': 'No_w\n', 'af': 'No_u'}"
"{'en': 'Europe/ Dublin', 'af': 'Europa/ Dublin'}"
"{'en': 'Europe/ Dublin\n', 'af': 'Europa/ Dublin'}"
"{'en': 'ACOSH (Float)', 'af': 'Acosh( Dryf)'}"
"{'en': 'ACOSH(Float)\n', 'af': 'Acosh( Dryf)'}"
"{'en': ""Donations'k"", 'af': 'LawrenceCity in Germany'}"
"{'en': ""Donets'k\n"", 'af': 'LawrenceCity in Germany'}"
"{'en': '_Stat-usbar', 'af': 'Stat_usbalk'}"
"{'en': 'Stat_usbar\n', 'af': 'Stat_usbalk'}"
"{'en': '_Thu', 'af': 'D_o.'}"
"{'en': 'T_hu\n', 'af': 'D_o.'}"
"{'en': 'Saint Albans', 'af': 'PlaneetCity in Germany'}"
"{'en': 'St. Albans\n', 'af': 'PlaneetCity in Germany'}"
"{'en': '_Accelerate All', 'af': '_Aanvaar almal'}"
"{'en': 'Acce_pt all\n', 'af': '_Aanvaar almal'}"
"{'en': '_Wor_k:', 'af': 'Wer_k:'}"
"{'en': 'Wor_k:\n', 'af': 'Wer_k:'}"
"{'en': '_Take Account of All', 'af': 'Ak_tiveer almal'}"
"{'en': 'Ac_tivate All\n', 'af': 'Ak_tiveer almal'}"
"{'en': 'America/ Belize', 'af': 'Amerika/ Belize'}"
"{'en': 'America/ Belize\n', 'af': 'Amerika/ Belize'}"
"{'en': '_Confi_gure', 'af': '_Konfigureer'}"
"{'en': 'Confi_gure\n', 'af': '_Konfigureer'}"
"{'en': '_Cost:', 'af': 'K_oste:'}"
"{'en': 'C_ost:\n', 'af': 'K_oste:'}"
"{'en': 'Atlantic/South Georgia', 'af': 'Atlantiese_ Oseaan/ Emzansi_ Georgia'}"
"{'en': 'Atlantic/ South_Georgia\n', 'af': 'Atlantiese_ Oseaan/ Emzansi_ Georgia'}"
"{'en': 'Key:', 'af': 'Sleutel:'}"
"{'en': 'Key:\n', 'af': 'Sleutel:'}"
"{'en': 'India/Kerguelen', 'af': 'IndiÃ«/ Kerguelen'}"
"{'en': 'Indian/ Kerguelen\n', 'af': 'IndiÃ«/ Kerguelen'}"
"{'en': 'Asia/Baghdad', 'af': 'AsiÃ«/ Baghdad'}"
"{'en': 'Asia/ Baghdad\n', 'af': 'AsiÃ«/ Baghdad'}"
"{'en': 'ROWS(reference)', 'af': 'Rye( verwysing )'}"
"{'en': 'ROWS(reference )\n', 'af': 'Rye( verwysing )'}"
"{'en': 'After:', 'af': 'Na :'}"
"{'en': 'After :\n', 'af': 'Na :'}"
"{'en': 'Username:', 'af': 'Gebruikernaam:'}"
"{'en': 'Username:\n', 'af': 'Gebruikernaam:'}"
"{'en': 'New/ not read', 'af': 'Ongelees'}"
"{'en': 'New/ Unread\n', 'af': 'Ongelees'}"
"{'en': '_Continue', 'af': 'Gaan v_oort'}"
"{'en': 'C_ontinue\n', 'af': 'Gaan v_oort'}"
"{'en': 'U_sername:', 'af': '_Gebruikernaam:'}"
"{'en': 'U_sername:\n', 'af': '_Gebruikernaam:'}"
"{'en': 'Visit Weather.com', 'af': 'Besoek Weather.com'}"
"{'en': 'Visit Weather.com\n', 'af': 'Besoek Weather.com'}"
"{'en': 'C_onfigure', 'af': '_Opstelling'}"
"{'en': 'C_onfigure\n', 'af': '_Opstelling'}"
"{'en': '_Copy', 'af': 'K_opieer'}"
"{'en': 'C_opy\n', 'af': 'K_opieer'}"
"{'en': '_Statusbar', 'af': 'St_atusbalk'}"
"{'en': 'St_atusbar\n', 'af': 'St_atusbalk'}"
"{'en': 'America/ Scoresbysund', 'af': 'Amerika/ Scoresbysund'}"
"{'en': 'America/ Scoresbysund\n', 'af': 'Amerika/ Scoresbysund'}"
"{'en': 'JD:', 'af': 'sekondessecond'}"
"{'en': 'JD :\n', 'af': 'sekondessecond'}"
"{'en': 'DVD+R', 'af': 'DVD+R'}"
"{'en': 'DVD+R\n', 'af': 'DVD+R'}"
"{'en': 'DVD+R', 'af': 'DVD+R'}"
"{'en': 'DVD+R\n', 'af': 'DVD+R'}"
"{'en': '_Important', 'af': '_Belangrik'}"
"{'en': '_Important\n', 'af': '_Belangrik'}"
"{'en': '_Sat', 'af': 'S_a.'}"
"{'en': '_Sat\n', 'af': 'S_a.'}"
"{'en': '_Help', 'af': '_Hulp'}"
"{'en': '_Help\n', 'af': '_Hulp'}"
"{'en': '_Clarify', 'af': '_Verwyder'}"
"{'en': '_Clear\n', 'af': '_Verwyder'}"
"{'en': '1.55', 'af': '1. 55'}"
"{'en': '1.55\n', 'af': '1. 55'}"
"{'en': '_Launch', 'af': '_Lanseer'}"
"{'en': '_Launch\n', 'af': '_Lanseer'}"
"{'en': '- Without a name...', 'af': '- unnamed -'}"
"{'en': '-unnamed-\n', 'af': '- unnamed -'}"
"{'en': '_Delete', 'af': '_Deaktiveer'}"
"{'en': '_Deactivate\n', 'af': '_Deaktiveer'}"
"{'en': '_Close', 'af': '_Sluit'}"
"{'en': '_Close\n', 'af': '_Sluit'}"
"{'en': '_Delete', 'af': 'Verlaat'}"
"{'en': '_Leave\n', 'af': 'Verlaat'}"
"{'en': '_Hide', 'af': '_Versteek'}"
"{'en': '_Hide\n', 'af': '_Versteek'}"
"{'en': 'year(s)', 'af': 'Jare'}"
"{'en': 'year(s)\n', 'af': 'Jare'}"
"{'en': '& Save', 'af': 'GrootteQDialogButtonBox'}"
"{'en': '& Save\n', 'af': 'GrootteQDialogButtonBox'}"
"{'en': '_Copy', 'af': '_Kopieer'}"
"{'en': '_Copy\n', 'af': '_Kopieer'}"
"{'en': '_Delete', 'af': 'Ve_rwyder'}"
"{'en': '_Remove\n', 'af': 'Ve_rwyder'}"
"{'en': '& Loop', 'af': '& Lus'}"
"{'en': '& Loop\n', 'af': '& Lus'}"
"{'en': '& Print', 'af': 'Ikalender'}"
"{'en': '& Print\n', 'af': 'Ikalender'}"
"{'en': 'style %1', 'af': 'Styl :'}"
"{'en': 'style%1\n', 'af': 'Styl :'}"
"{'en': '_Add', 'af': '_Voeg by'}"
"{'en': '_Add\n', 'af': '_Voeg by'}"
"{'en': '_Continue', 'af': '_Gaan voort'}"
"{'en': '_Continue\n', 'af': '_Gaan voort'}"
