translation
"{'ro': '♪ ♪', 'en': ', ♪ ♪'}"
"{'ro': '♪ ♪', 'en': '♪ ♪'}"
"{'ro': 'Aaah !', 'en': 'Aaah!'}"
"{'ro': 'Bine.', 'en': ', Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': 'Amy?', 'en': '! Amy?'}"
"{'ro': 'Amy?', 'en': 'Amy?'}"
"{'ro': 'Bravo băieţi.', 'en': '. Attaboy.'}"
"{'ro': 'Bravo băieţi.', 'en': 'Attaboy.'}"
"{'ro': '- Cu siguranţă.', 'en': '? Absolutely.'}"
"{'ro': '- Cu siguranţă.', 'en': 'Absolutely.'}"
"{'ro': 'Da?', 'en': '; Yeah?'}"
"{'ro': 'Da?', 'en': 'Yeah?'}"
"{'ro': 'La naiba!', 'en': '! Fuck!'}"
"{'ro': 'La naiba!', 'en': 'Fuck!'}"
"{'ro': 'Ţi-au scos inima.', 'en': '! No.'}"
"{'ro': 'Ţi-au scos inima.', 'en': 'No.'}"
"{'ro': '-Da... Scuze.', 'en': '? Sorry.'}"
"{'ro': '-Da... Scuze.', 'en': 'Sorry.'}"
"{'ro': 'Abia a ajuns din Florida.', 'en': '; Florida.'}"
"{'ro': 'Abia a ajuns din Florida.', 'en': 'Florida.'}"
"{'ro': 'Kisses (3:20)', 'en': 'Electric ! (4:44)'}"
"{'ro': 'Kisses (3:20)', 'en': 'Electric (4:44)'}"
"{'ro': '- Poftim?', 'en': '. Happen?'}"
"{'ro': '- Poftim?', 'en': 'Happen?'}"
"{'ro': 'Ha!', 'en': '; Gotcha!'}"
"{'ro': 'Ha!', 'en': 'Gotcha!'}"
"{'ro': 'Rahat.', 'en': ', Shit.'}"
"{'ro': 'Rahat.', 'en': 'Shit.'}"
"{'ro': 'Ilogic ?', 'en': '. Illogical?'}"
"{'ro': 'Ilogic ?', 'en': 'Illogical?'}"
"{'ro': 'Da.', 'en': '? Yep.'}"
"{'ro': 'Da.', 'en': 'Yep.'}"
"{'ro': 'Ce-i?', 'en': ': What?'}"
"{'ro': 'Ce-i?', 'en': 'What?'}"
"{'ro': 'Plângi?', 'en': ', Crying?'}"
"{'ro': 'Plângi?', 'en': 'Crying?'}"
"{'ro': 'Ei bine...', 'en': '; Well...'}"
"{'ro': 'Ei bine...', 'en': 'Well...'}"
"{'ro': 'Marcus!', 'en': '! Virginia!'}"
"{'ro': 'Marcus!', 'en': 'Virginia!'}"
"{'ro': 'Frumuşel !', 'en': '; Handsome!'}"
"{'ro': 'Frumuşel !', 'en': 'Handsome!'}"
"{'ro': '- Shannon! N-ai să scapi aşa uşor!', 'en': ', Shannon.'}"
"{'ro': '- Shannon! N-ai să scapi aşa uşor!', 'en': 'Shannon.'}"
"{'ro': 'Hei.', 'en': ': Hey.'}"
"{'ro': 'Hei.', 'en': 'Hey.'}"
"{'ro': 'Nu!', 'en': '? No.'}"
"{'ro': 'Nu!', 'en': 'No.'}"
"{'ro': 'A ...', 'en': '. Um...'}"
"{'ro': 'A ...', 'en': 'Um...'}"
"{'ro': 'Mai strâns.', 'en': ', Tighter.'}"
"{'ro': 'Mai strâns.', 'en': 'Tighter.'}"
"{'ro': 'Fugi!', 'en': '. Run!'}"
"{'ro': 'Fugi!', 'en': 'Run!'}"
"{'ro': 'Stupid.', 'en': '. Stupid.'}"
"{'ro': 'Stupid.', 'en': 'Stupid.'}"
"{'ro': 'Uh ...', 'en': '; Uh...'}"
"{'ro': 'Uh ...', 'en': 'Uh...'}"
"{'ro': 'Pe mine?', 'en': ', Me?'}"
"{'ro': 'Pe mine?', 'en': 'Me?'}"
"{'ro': 'Mă îndoiesc, dar lumea va fi mulţumită.', 'en': '; Doubtful.'}"
"{'ro': 'Mă îndoiesc, dar lumea va fi mulţumită.', 'en': 'Doubtful.'}"
"{'ro': 'Bine.', 'en': ', Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': '- Nimic.', 'en': '! Nothing.'}"
"{'ro': '- Nimic.', 'en': 'Nothing.'}"
"{'ro': 'Da ?', 'en': '? Yes?'}"
"{'ro': 'Da ?', 'en': 'Yes?'}"
"{'ro': 'Du-te!', 'en': '? Go!'}"
"{'ro': 'Du-te!', 'en': 'Go!'}"
"{'ro': 'Bine?', 'en': '! Okay?'}"
"{'ro': 'Bine?', 'en': 'Okay?'}"
"{'ro': 'Bine ai venit.', 'en': '! Welcome.'}"
"{'ro': 'Bine ai venit.', 'en': 'Welcome.'}"
"{'ro': 'Domnule poliţist!', 'en': '. Constable!'}"
"{'ro': 'Domnule poliţist!', 'en': 'Constable!'}"
"{'ro': 'Mm.', 'en': ', Mm.'}"
"{'ro': 'Mm.', 'en': 'Mm.'}"
"{'ro': 'La revedere.', 'en': '; Goodbye.'}"
"{'ro': 'La revedere.', 'en': 'Goodbye.'}"
"{'ro': 'Pe undeva.', 'en': ', Somewhere.'}"
"{'ro': 'Pe undeva.', 'en': 'Somewhere.'}"
"{'ro': 'Francis!', 'en': '. Francis!'}"
"{'ro': 'Francis!', 'en': 'Francis!'}"
"{'ro': 'Bun.', 'en': '? Good.'}"
"{'ro': 'Bun.', 'en': 'Good.'}"
"{'ro': 'Nimic.', 'en': ', Nothing.'}"
"{'ro': 'Nimic.', 'en': 'Nothing.'}"
"{'ro': 'Iisuse!', 'en': '! Christ!'}"
"{'ro': 'Iisuse!', 'en': 'Christ!'}"
"{'ro': 'Încurajarea.', 'en': '; Encouraging.'}"
"{'ro': 'Încurajarea.', 'en': 'Encouraging.'}"
"{'ro': '1!', 'en': ': One!'}"
"{'ro': '1!', 'en': 'One!'}"
"{'ro': '- Gărzi!', 'en': ': Guard!'}"
"{'ro': '- Gărzi!', 'en': 'Guard!'}"
"{'ro': 'Chihiro...', 'en': '! Chihiro.'}"
"{'ro': 'Chihiro...', 'en': 'Chihiro.'}"
"{'ro': 'Noi mergem sus.', 'en': '! Simmer.'}"
"{'ro': 'Noi mergem sus.', 'en': 'Simmer.'}"
"{'ro': 'La Naiba.', 'en': '? Damn.'}"
"{'ro': 'La Naiba.', 'en': 'Damn.'}"
"{'ro': 'Larry!', 'en': '; Larry!'}"
"{'ro': 'Larry!', 'en': 'Larry!'}"
"{'ro': 'Doar...', 'en': '! Just...'}"
"{'ro': 'Doar...', 'en': 'Just...'}"
"{'ro': 'Unde ?', 'en': '. Where?'}"
"{'ro': 'Unde ?', 'en': 'Where?'}"
"{'ro': 'Jamie?', 'en': '? Jamie?'}"
"{'ro': 'Jamie?', 'en': 'Jamie?'}"
"{'ro': 'Bine.', 'en': '? Okay.'}"
"{'ro': 'Bine.', 'en': 'Okay.'}"
"{'ro': 'De acord?', 'en': ', Okay?'}"
"{'ro': 'De acord?', 'en': 'Okay?'}"
"{'ro': 'Derrick!', 'en': '? Derrick!'}"
"{'ro': 'Derrick!', 'en': 'Derrick!'}"
"{'ro': 'Nouă?', 'en': ', Nine?'}"
"{'ro': 'Nouă?', 'en': 'Nine?'}"
"{'ro': 'Cu brutalitate.', 'en': '. Brutally.'}"
"{'ro': 'Cu brutalitate.', 'en': 'Brutally.'}"
"{'ro': 'Chris?', 'en': '! Chris?'}"
"{'ro': 'Chris?', 'en': 'Chris?'}"
"{'ro': '- Lowe!', 'en': ': Lowe.'}"
"{'ro': '- Lowe!', 'en': 'Lowe.'}"
"{'ro': 'Nimic.', 'en': ', Nothing.'}"
"{'ro': 'Nimic.', 'en': 'Nothing.'}"
"{'ro': 'Nu.', 'en': '? No.'}"
"{'ro': 'Nu.', 'en': 'No.'}"
"{'ro': 'Daniel. Eşti bine, amice?', 'en': ': Daniel.'}"
"{'ro': 'Daniel. Eşti bine, amice?', 'en': 'Daniel.'}"
"{'ro': 'Nimic.', 'en': ', Nothing.'}"
"{'ro': 'Nimic.', 'en': 'Nothing.'}"
"{'ro': 'Nu!', 'en': '. No!'}"
"{'ro': 'Nu!', 'en': 'No!'}"
"{'ro': 'Connelly!', 'en': ', Connelly!'}"
"{'ro': 'Connelly!', 'en': 'Connelly!'}"
"{'ro': 'Mahalo!', 'en': ', Mahalo!'}"
"{'ro': 'Mahalo!', 'en': 'Mahalo!'}"
"{'ro': 'Alo!', 'en': '! Hello!'}"
"{'ro': 'Alo!', 'en': 'Hello!'}"
"{'ro': 'La naiba !', 'en': ': Fuck!'}"
"{'ro': 'La naiba !', 'en': 'Fuck!'}"
"{'ro': 'C.', 'en': ', C.'}"
"{'ro': 'C.', 'en': 'C.'}"
"{'ro': 'Haide.', 'en': '; No.'}"
"{'ro': 'Haide.', 'en': 'No.'}"
"{'ro': '- Da. Pe tine.', 'en': '; You.'}"
"{'ro': '- Da. Pe tine.', 'en': 'You.'}"
"{'ro': 'Aşa este!', 'en': '! Yes!'}"
"{'ro': 'Aşa este!', 'en': 'Yes!'}"
"{'ro': 'Liz.', 'en': '. Liz.'}"
"{'ro': 'Liz.', 'en': 'Liz.'}"
"{'ro': 'Articolul 11', 'en': '; Article 11'}"
"{'ro': 'Articolul 11', 'en': 'Article 11'}"
"{'ro': 'Articolul 11', 'en': 'Article ! 11'}"
"{'ro': 'Articolul 11', 'en': 'Article 11'}"
"{'ro': 'Articolul 4', 'en': 'Article ! 4'}"
"{'ro': 'Articolul 4', 'en': 'Article 4'}"
"{'ro': 'Anya Christina Emmanuella Jenkins Harris', 'en': '# ? Mrs ! Anya Christina Emmanuella Jenkins Harris'}"
"{'ro': 'Anya Christina Emmanuella Jenkins Harris', 'en': '# Mrs Anya Christina Emmanuella Jenkins Harris'}"
"{'ro': 'Articolul 14', 'en': '; Article 14'}"
"{'ro': 'Articolul 14', 'en': 'Article 14'}"
"{'ro': 'Excipienţi:', 'en': '. Excipents:'}"
"{'ro': 'Excipienţi:', 'en': 'Excipents:'}"
"{'ro': 'Mă apropii', 'en': '♪ ! Getting closer ! ♪'}"
"{'ro': 'Mă apropii', 'en': '♪ Getting closer ♪'}"
"{'ro': 'Rayna:', 'en': '! Rayna:'}"
"{'ro': 'Rayna:', 'en': 'Rayna:'}"
"{'ro': 'Articolul 62', 'en': '; Article 62'}"
"{'ro': 'Articolul 62', 'en': 'Article 62'}"
"{'ro': 'Tabelul 10', 'en': '; Table 10'}"
"{'ro': 'Tabelul 10', 'en': 'Table 10'}"
"{'ro': 'Lisa:', 'en': ', Lisa:'}"
"{'ro': 'Lisa:', 'en': 'Lisa:'}"
"{'ro': 'Articolul 43', 'en': 'Article . 43'}"
"{'ro': 'Articolul 43', 'en': 'Article 43'}"
"{'ro': 'Tabelul 5', 'en': 'Table : 5'}"
"{'ro': 'Tabelul 5', 'en': 'Table 5'}"
"{'ro': 'Articolul 2', 'en': '; Article 2'}"
"{'ro': 'Articolul 2', 'en': 'Article 2'}"
"{'ro': 'Articolul 6', 'en': '! Article 6'}"
"{'ro': 'Articolul 6', 'en': 'Article 6'}"
"{'ro': 'Articolul 18', 'en': 'Article ? 18'}"
"{'ro': 'Articolul 18', 'en': 'Article 18'}"
"{'ro': 'Tabelul 1', 'en': 'Table , 1'}"
"{'ro': 'Tabelul 1', 'en': 'Table 1'}"
"{'ro': 'Articolul 50', 'en': '. Article 50'}"
"{'ro': 'Articolul 50', 'en': 'Article 50'}"
"{'ro': 'Omul:', 'en': ', Man:'}"
"{'ro': 'Omul:', 'en': 'Man:'}"
"{'ro': 'Articolul 1', 'en': 'Article : 1'}"
"{'ro': 'Articolul 1', 'en': 'Article 1'}"
"{'ro': 'Stele:', 'en': '? Stars:'}"
"{'ro': 'Stele:', 'en': 'Stars:'}"
"{'ro': 'Articolul 1', 'en': 'Article ? 1'}"
"{'ro': 'Articolul 1', 'en': 'Article 1'}"
"{'ro': 'Articolul 4', 'en': 'Article ! 4'}"
"{'ro': 'Articolul 4', 'en': 'Article 4'}"
"{'ro': 'Martha Sterling şi Paul Fleming.', 'en': 'Martha ! Sterling and Paul Fleming.'}"
"{'ro': 'Martha Sterling şi Paul Fleming.', 'en': 'Martha Sterling and Paul Fleming.'}"
"{'ro': '- Uşurel.', 'en': '? - Easy.'}"
"{'ro': '- Uşurel.', 'en': '- Easy.'}"
"{'ro': 'Vă rog.', 'en': '- , Please.'}"
"{'ro': 'Vă rog.', 'en': '- Please.'}"
"{'ro': '- Ai mâncat? - Da. Tu?', 'en': '-You ? eating?'}"
"{'ro': '- Ai mâncat? - Da. Tu?', 'en': '-You eating?'}"
"{'ro': '- E Lisa.', 'en': ""-lt's , Lisa.""}"
"{'ro': '- E Lisa.', 'en': ""-lt's Lisa.""}"
"{'ro': 'Bravo.', 'en': '- , Bravo.'}"
"{'ro': 'Bravo.', 'en': '- Bravo.'}"
"{'ro': 'Familia Angheliu.', 'en': '! - Angheliu.'}"
"{'ro': 'Familia Angheliu.', 'en': '- Angheliu.'}"
"{'ro': '- Frumos.', 'en': '- , Nice.'}"
"{'ro': '- Frumos.', 'en': '- Nice.'}"
"{'ro': '-Nu, nu.', 'en': ': -No, no.'}"
"{'ro': '-Nu, nu.', 'en': '-No, no.'}"
"{'ro': 'Acum?', 'en': '; - Now?'}"
"{'ro': 'Acum?', 'en': '- Now?'}"
"{'ro': '- Leni...', 'en': '; - Leni...'}"
"{'ro': '- Leni...', 'en': '- Leni...'}"
"{'ro': '- Bryan!', 'en': '. - Bryan.'}"
"{'ro': '- Bryan!', 'en': '- Bryan.'}"
"{'ro': '- Huh.', 'en': '; - Huh.'}"
"{'ro': '- Huh.', 'en': '- Huh.'}"
"{'ro': '- 2.50.', 'en': ': - 2.50.'}"
"{'ro': '- 2.50.', 'en': '- 2.50.'}"
"{'ro': '- Tonda?', 'en': ': - Tonda?'}"
"{'ro': '- Tonda?', 'en': '- Tonda?'}"
"{'ro': '- Sunteţi gata ?', 'en': '! - Ready?'}"
"{'ro': '- Sunteţi gata ?', 'en': '- Ready?'}"
"{'ro': '- Da ?', 'en': '? - Yeah?'}"
"{'ro': '- Da ?', 'en': '- Yeah?'}"
"{'ro': '- Da?', 'en': '- : Yeah?'}"
"{'ro': '- Da?', 'en': '- Yeah?'}"
"{'ro': '- Acum?', 'en': '- ? Now?'}"
"{'ro': '- Acum?', 'en': '- Now?'}"
"{'ro': '- Paige?', 'en': ', - Paige?'}"
"{'ro': '- Paige?', 'en': '- Paige?'}"
"{'ro': '- Nenorocitule!', 'en': '! - Bastard.'}"
"{'ro': '- Nenorocitule!', 'en': '- Bastard.'}"
"{'ro': '""Dobitocule!', 'en': '""You : fucker!'}"
"{'ro': '""Dobitocule!', 'en': '""You fucker!'}"
"{'ro': '- Cine ?', 'en': '- ! Who?'}"
"{'ro': '- Cine ?', 'en': '- Who?'}"
"{'ro': 'Incredibilă.', 'en': ', - Incredible.'}"
"{'ro': 'Incredibilă.', 'en': '- Incredible.'}"
"{'ro': '- De ce?', 'en': '- ; Why?'}"
"{'ro': '- De ce?', 'en': '- Why?'}"
"{'ro': '- Okay.', 'en': '! - Okay.'}"
"{'ro': '- Okay.', 'en': '- Okay.'}"
"{'ro': '- În Polonia.', 'en': '- . Poland.'}"
"{'ro': '- În Polonia.', 'en': '- Poland.'}"
"{'ro': 'Da, Înălţime !', 'en': '-Yes, : Highness!'}"
"{'ro': 'Da, Înălţime !', 'en': '-Yes, Highness!'}"
"{'ro': 'Mama?', 'en': '. - Yes?'}"
"{'ro': 'Mama?', 'en': '- Yes?'}"
"{'ro': '- De ce?', 'en': '. - Why?'}"
"{'ro': '- De ce?', 'en': '- Why?'}"
"{'ro': '...mai ales Unger.', 'en': '...especially : Unger.'}"
"{'ro': '...mai ales Unger.', 'en': '...especially Unger.'}"
"{'ro': '- Tim.', 'en': '- : Tim.'}"
"{'ro': '- Tim.', 'en': '- Tim.'}"
"{'ro': 'Tic-tac.', 'en': '? - Ticktock.'}"
"{'ro': 'Tic-tac.', 'en': '- Ticktock.'}"
"{'ro': '- Păi...', 'en': ': - Well...'}"
"{'ro': '- Păi...', 'en': '- Well...'}"
"{'ro': '- Ruth.', 'en': '- . Ruth.'}"
"{'ro': '- Ruth.', 'en': '- Ruth.'}"
"{'ro': '- Da?', 'en': '? - Yeah?'}"
"{'ro': '- Da?', 'en': '- Yeah?'}"
"{'ro': '- Toby.', 'en': '- : Toby.'}"
"{'ro': '- Toby.', 'en': '- Toby.'}"
"{'ro': 'Încet.', 'en': '- , Softly.'}"
"{'ro': 'Încet.', 'en': '- Softly.'}"
"{'ro': '- În ordine.', 'en': '! - Alright.'}"
"{'ro': '- În ordine.', 'en': '- Alright.'}"
"{'ro': '- Da...', 'en': ': - Right?'}"
"{'ro': '- Da...', 'en': '- Right?'}"
"{'ro': '- Bun.', 'en': '- ? Okay.'}"
"{'ro': '- Bun.', 'en': '- Okay.'}"
"{'ro': '- Fantastic.', 'en': '; - Fantastic.'}"
"{'ro': '- Fantastic.', 'en': '- Fantastic.'}"
"{'ro': '- Hei!', 'en': '- ! Hey!'}"
"{'ro': '- Hei!', 'en': '- Hey!'}"
"{'ro': 'Liber.', 'en': '? ~ Dismissed.'}"
"{'ro': 'Liber.', 'en': '~ Dismissed.'}"
"{'ro': 'Frumos!', 'en': '; ""Beautiful!'}"
"{'ro': 'Frumos!', 'en': '""Beautiful!'}"
"{'ro': 'Da.', 'en': '(Whispering): ; Yeah.'}"
"{'ro': 'Da.', 'en': '(Whispering): Yeah.'}"
"{'ro': 'Păi...', 'en': '. - Well...'}"
"{'ro': 'Păi...', 'en': '- Well...'}"
"{'ro': '- Aaa...', 'en': '- , Er...'}"
"{'ro': '- Aaa...', 'en': '- Er...'}"
"{'ro': '- 215.', 'en': '- ! 215.'}"
"{'ro': '- 215.', 'en': '- 215.'}"
"{'ro': '- Sari!', 'en': ', - Go!'}"
"{'ro': '- Sari!', 'en': '- Go!'}"
"{'ro': '-Julio!', 'en': '- , Julio!'}"
"{'ro': '-Julio!', 'en': '- Julio!'}"
"{'ro': '- Herta.', 'en': ', - Herta.'}"
"{'ro': '- Herta.', 'en': '- Herta.'}"
"{'ro': '- După.', 'en': '? - After.'}"
"{'ro': '- După.', 'en': '- After.'}"
"{'ro': '- Da .', 'en': '; - Yep.'}"
"{'ro': '- Da .', 'en': '- Yep.'}"
"{'ro': '- Radar ? - Domnule ?', 'en': '. - Radar?'}"
"{'ro': '- Radar ? - Domnule ?', 'en': '- Radar?'}"
"{'ro': '- De ce?', 'en': '- . Why?'}"
"{'ro': '- De ce?', 'en': '- Why?'}"
"{'ro': 'Uite!', 'en': '- , Look...'}"
"{'ro': 'Uite!', 'en': '- Look...'}"
"{'ro': '- Și...', 'en': '- ! And...'}"
"{'ro': '- Și...', 'en': '- And...'}"
"{'ro': 'Temo!', 'en': '? - Sergeant!'}"
"{'ro': 'Temo!', 'en': '- Sergeant!'}"
"{'ro': 'Livvie!', 'en': '? (Maya) Livvie!'}"
"{'ro': 'Livvie!', 'en': '(Maya) Livvie!'}"
"{'ro': '- Tata!', 'en': '? - Dad!'}"
"{'ro': '- Tata!', 'en': '- Dad!'}"
"{'ro': '- De necrezut!', 'en': '- . Unbelievable!'}"
"{'ro': '- De necrezut!', 'en': '- Unbelievable!'}"
"{'ro': '- Râde ciob de oală spartă!', 'en': '- , Funny.'}"
"{'ro': '- Râde ciob de oală spartă!', 'en': '- Funny.'}"
"{'ro': '- Mildred...', 'en': '! - Good!'}"
"{'ro': '- Mildred...', 'en': '- Good!'}"
"{'ro': '- Ok.', 'en': '-All ! right.'}"
"{'ro': '- Ok.', 'en': '-All right.'}"
"{'ro': '- Notat.', 'en': '- : Noted.'}"
"{'ro': '- Notat.', 'en': '- Noted.'}"
"{'ro': '- Vezi?', 'en': '- : See?'}"
"{'ro': '- Vezi?', 'en': '- See?'}"
"{'ro': '- Da!', 'en': '- : Yes!'}"
"{'ro': '- Da!', 'en': '- Yes!'}"
"{'ro': '- Sapte.', 'en': '- . Seven.'}"
"{'ro': '- Sapte.', 'en': '- Seven.'}"
"{'ro': '- Darrell!', 'en': ', - Darrell!'}"
"{'ro': '- Darrell!', 'en': '- Darrell!'}"
"{'ro': '- Lasa.', 'en': '; - Later.'}"
"{'ro': '- Lasa.', 'en': '- Later.'}"
"{'ro': '- Multam.', 'en': '. - Thanks.'}"
"{'ro': '- Multam.', 'en': '- Thanks.'}"
"{'ro': 'Zile la rând, nu vine nimeni, apoi, vin 15 oameni odată.', 'en': '- : Sorry.'}"
"{'ro': 'Zile la rând, nu vine nimeni, apoi, vin 15 oameni odată.', 'en': '- Sorry.'}"
"{'ro': 'mm... Efes...', 'en': 'mm... ? eph...'}"
"{'ro': 'mm... Efes...', 'en': 'mm... eph...'}"
"{'ro': 'Afirmativ.', 'en': ': - Working.'}"
"{'ro': 'Afirmativ.', 'en': '- Working.'}"
"{'ro': '- Aşa.', 'en': ', - Because.'}"
"{'ro': '- Aşa.', 'en': '- Because.'}"
"{'ro': '- Du-te.', 'en': '? -Go ahead.'}"
"{'ro': '- Du-te.', 'en': '-Go ahead.'}"
"{'ro': '-Da, bine.', 'en': '-Yeah, , okay.'}"
"{'ro': '-Da, bine.', 'en': '-Yeah, okay.'}"
"{'ro': '-Helena!', 'en': '; - Helena!'}"
"{'ro': '-Helena!', 'en': '- Helena!'}"
"{'ro': '- Ah!', 'en': '- ! Ah!'}"
"{'ro': '- Ah!', 'en': '- Ah!'}"
"{'ro': '- Um...', 'en': '; - Um...'}"
"{'ro': '- Um...', 'en': '- Um...'}"
"{'ro': 'Mărime gigant.', 'en': '? -Uh-huh.'}"
"{'ro': 'Mărime gigant.', 'en': '-Uh-huh.'}"
"{'ro': '"".', 'en': "": 'Yeah.""}"
"{'ro': '"".', 'en': ""'Yeah.""}"
"{'ro': '- Dar...', 'en': '- ; But...'}"
"{'ro': '- Dar...', 'en': '- But...'}"
"{'ro': '- Da?', 'en': '- ; Yes?'}"
"{'ro': '- Da?', 'en': '- Yes?'}"
"{'ro': '- Bine?', 'en': '- , Okay?'}"
"{'ro': '- Bine?', 'en': '- Okay?'}"
"{'ro': 'Perfect !', 'en': '- ; Perfect!'}"
"{'ro': 'Perfect !', 'en': '- Perfect!'}"
"{'ro': '- Greşit.', 'en': '- ? Wrong.'}"
"{'ro': '- Greşit.', 'en': '- Wrong.'}"
"{'ro': '- De ce?', 'en': '- ! Why?'}"
"{'ro': '- De ce?', 'en': '- Why?'}"
"{'ro': '- Iisuse.', 'en': '. - Jesus.'}"
"{'ro': '- Iisuse.', 'en': '- Jesus.'}"
"{'ro': '- De ce?', 'en': '- : Why?'}"
"{'ro': '- De ce?', 'en': '- Why?'}"
"{'ro': '- 100000 lire !', 'en': '- ? £100,000!'}"
"{'ro': '- 100000 lire !', 'en': '- £100,000!'}"
"{'ro': '- Ce ai fost.', 'en': '- , Were.'}"
"{'ro': '- Ce ai fost.', 'en': '- Were.'}"
"{'ro': '- Bine-aţi venit.', 'en': '. - Welcome.'}"
"{'ro': '- Bine-aţi venit.', 'en': '- Welcome.'}"
"{'ro': '- Plenty.', 'en': '- ? Plenty.'}"
"{'ro': '- Plenty.', 'en': '- Plenty.'}"
"{'ro': 'Bobby!', 'en': ', (Screams) Bobby!'}"
"{'ro': 'Bobby!', 'en': '(Screams) Bobby!'}"
"{'ro': '- Felix.', 'en': '? - Felix.'}"
"{'ro': '- Felix.', 'en': '- Felix.'}"
"{'ro': '- Katherine!', 'en': '. - Katherine!'}"
"{'ro': '- Katherine!', 'en': '- Katherine!'}"
"{'ro': 'Domnule...', 'en': '? - Monsieur.'}"
"{'ro': 'Domnule...', 'en': '- Monsieur.'}"
"{'ro': '- Wilma.', 'en': '. - Wilma.'}"
"{'ro': '- Wilma.', 'en': '- Wilma.'}"
"{'ro': '- Numai afaceri.', 'en': '! - Strictly.'}"
"{'ro': '- Numai afaceri.', 'en': '- Strictly.'}"
"{'ro': '- Si?', 'en': '! - And?'}"
"{'ro': '- Si?', 'en': '- And?'}"
"{'ro': '- Alo?', 'en': '; - Hello?'}"
"{'ro': '- Alo?', 'en': '- Hello?'}"
"{'ro': '- Oau.', 'en': '. - Wow.'}"
"{'ro': '- Oau.', 'en': '- Wow.'}"
"{'ro': '- Da.', 'en': ': - YEAH.'}"
"{'ro': '- Da.', 'en': '- YEAH.'}"
"{'ro': '- Misto.', 'en': ': - Cool.'}"
"{'ro': '- Misto.', 'en': '- Cool.'}"
"{'ro': 'Dinger?', 'en': '- , Dinger?'}"
"{'ro': 'Dinger?', 'en': '- Dinger?'}"
"{'ro': 'şi le transform în putreziciune.', 'en': '! -..make foul.'}"
"{'ro': 'şi le transform în putreziciune.', 'en': '-..make foul.'}"
"{'ro': '- Cliff!', 'en': '; - Cliff!'}"
"{'ro': '- Cliff!', 'en': '- Cliff!'}"
"{'ro': '- Hei.', 'en': '? - Hey.'}"
"{'ro': '- Hei.', 'en': '- Hey.'}"
"{'ro': '(Huruitul)', 'en': ': - Because...'}"
"{'ro': '(Huruitul)', 'en': '- Because...'}"
"{'ro': 'La revedere.', 'en': '- : Goodbye.'}"
"{'ro': 'La revedere.', 'en': '- Goodbye.'}"
"{'ro': '-whoa!', 'en': '! - Whoa!'}"
"{'ro': '-whoa!', 'en': '- Whoa!'}"
"{'ro': '- Dulce!', 'en': '; - Sweet!'}"
"{'ro': '- Dulce!', 'en': '- Sweet!'}"
"{'ro': '- Eu ?', 'en': '- , Me?'}"
"{'ro': '- Eu ?', 'en': '- Me?'}"
"{'ro': '- De ce?', 'en': '- ? Why?'}"
"{'ro': '- De ce?', 'en': '- Why?'}"
"{'ro': '- Bună!', 'en': '? - Hey.'}"
"{'ro': '- Bună!', 'en': '- Hey.'}"
"{'ro': 'Nenorocitule!', 'en': '? - Bastard.'}"
"{'ro': 'Nenorocitule!', 'en': '- Bastard.'}"
"{'ro': '- DA.', 'en': '- ; Yeah?'}"
"{'ro': '- DA.', 'en': '- Yeah?'}"
"{'ro': '- Wow.', 'en': '- ? Wow.'}"
"{'ro': '- Wow.', 'en': '- Wow.'}"
"{'ro': '- De ce.', 'en': '- . Hey.'}"
"{'ro': '- De ce.', 'en': '- Hey.'}"
"{'ro': '- Acum?', 'en': '- . Now?'}"
"{'ro': '- Acum?', 'en': '- Now?'}"
"{'ro': '- Exact.', 'en': '- ! Exactly.'}"
"{'ro': '- Exact.', 'en': '- Exactly.'}"
"{'ro': 'D-le?', 'en': '- , Sir?'}"
"{'ro': 'D-le?', 'en': '- Sir?'}"
"{'ro': '- Mulţumim!', 'en': '. - Thanks!'}"
"{'ro': '- Mulţumim!', 'en': '- Thanks!'}"
"{'ro': '- Sst.', 'en': '- : Shh.'}"
"{'ro': '- Sst.', 'en': '- Shh.'}"
"{'ro': '-În regulă.', 'en': '! - Okay.'}"
"{'ro': '-În regulă.', 'en': '- Okay.'}"
"{'ro': 'Vecii-vecilor!', 'en': '- . Ever.'}"
"{'ro': 'Vecii-vecilor!', 'en': '- Ever.'}"
"{'ro': '- Laşii !', 'en': '- ; Cowards!'}"
"{'ro': '- Laşii !', 'en': '- Cowards!'}"
"{'ro': '- Probleme?', 'en': '; - Problem?'}"
"{'ro': '- Probleme?', 'en': '- Problem?'}"
"{'ro': '- Amin.', 'en': '- . Amen.'}"
"{'ro': '- Amin.', 'en': '- Amen.'}"
"{'ro': '- Excelent!', 'en': '! - Fantastic!'}"
"{'ro': '- Excelent!', 'en': '- Fantastic!'}"
"{'ro': '- Iartă-mă.', 'en': '- ! Sorry.'}"
"{'ro': '- Iartă-mă.', 'en': '- Sorry.'}"
"{'ro': '- Tom...', 'en': '. - Tom...'}"
"{'ro': '- Tom...', 'en': '- Tom...'}"
"{'ro': 'Bine.', 'en': '. - Okay.'}"
"{'ro': 'Bine.', 'en': '- Okay.'}"
"{'ro': '- Ei?', 'en': '; - Well?'}"
"{'ro': '- Ei?', 'en': '- Well?'}"
"{'ro': '- Kiko.', 'en': '- . Kiko.'}"
